X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.5936685679999,44.644348204,9559598,TRE130361,TRE130361,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACSA2,ACSA2,5,MM,2,INS,,GARDEN ST FROM LINDEN ST TO SHIRLEY ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.576522224,44.630854744,9559599,TRE130897,TRE130897,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,5,MM,2,INS,,BRIDGES ST FROM HARRINGTON DR TO ATLANTIC ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.579526084,44.634967025,9559600,TRE131720,TRE131720,TRE,HRM,,,WOOD,1,ROW,Y,N,FASY,FASY,3,MM,2,INS,,WELLINGTON ST FROM INGLIS ST TO LUNDYS LANE,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5856328039999,44.633214648,9559601,TRE131184,TRE131184,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,5,MM,2,INS,,GREENWOOD AVE FROM INGLIS ST TO BELMONT RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5932859709999,44.6328214480001,9559602,TRE131755,TRE131755,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,2,MM,2,INS,,BEAUFORT AVE FROM DALHOUSIE ST TO OXFORD ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.590121185,44.6421918730001,9559603,TRE130588,TRE130588,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,7,MM,2,INS,,HENRY ST FROM BINNEY ST TO JUBILEE RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.577493921,44.633937556,9559604,TRE131652,TRE131652,TRE,HRM,,,WOOD,1,ROW,Y,N,ACRU,ACRU,2,MM,2,INS,,INGLIS ST FROM IVANHOE ST TO TOWER RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.571630687,44.633592762,9559605,TRE131460,TRE131460,TRE,HRM,,,WOOD,1,ROW,Y,Y,SYVU,SYVU,1,MM,2,INS,,SOUTH BLAND ST FROM ATLANTIC ST TO INGLIS ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.591383233,44.6329306210001,9559606,TRE131142,TRE131142,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,5,MM,2,INS,,OAKLAND RD FROM STUDLEY AVE TO OAKLAND RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5865325669999,44.635034622,9559607,TRE131310,TRE131310,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,5,MM,2,INS,,FRASER ST FROM DAVIS ST TO WATERLOO ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
